x y z
0.90826 0.88156 0
0.16514 0.91519 1
0.45872 0.82 1
0.77064 0.80472 1
0.94495 0.93845 1
0.91743 0.92039 1
0.37615 0.75696 0
0.92661 0.97451 1
0.25688 0.80804 0
0.44954 0.77241 1
0.86239 0.98442 0
0.76147 0.78526 1
0.11009 1.0287 1
0.0091743 0.97423 1
0.027523 0.96734 0
0.40367 0.79717 1
0.68807 0.83532 0
0.47706 0.84142 1
0.63303 0.85172 1
0.36697 0.73666 0
0.49541 0.8161 0
1 1.0262 1
0.48624 0.76481 0
0.99083 0.96825 1
0.79817 0.85456 0
0.75229 0.80129 1
0.73394 0.80672 0
0.87156 0.72754 0
0.57798 0.80037 0
0.46789 0.64384 0
0.3945 0.80533 0
0.30275 0.75171 0
0.42202 0.72875 0
0.81651 0.83875 1
0.15596 0.77308 1
0.091743 0.98974 1
0.33945 0.7223 0
0.11927 0.79743 0
0.018349 0.9456 1
0 1.0261 1
0.036697 0.93828 1
0.72477 0.76907 0
0.61468 0.76627 1
0.74312 0.81752 0
0.045872 0.94886 1
0.70642 0.7751 0
0.073394 0.98772 1
0.80734 0.79159 0
0.23853 0.87365 1
0.20183 0.8235 0
0.22018 0.80615 1
0.12844 0.97035 1
0.93578 0.95272 0
0.78899 0.89867 1
0.13761 0.89668 1
0.65138 0.78673 1
0.33028 0.77994 0
0.21101 0.8512 1
0.29358 0.81291 0
0.06422 0.91356 1
0.85321 0.9056 1
0.6789 0.79502 1
0.10092 0.91964 1
0.14679 0.98671 1
0.53211 0.73079 1
0.51376 0.71208 0
0.19266 0.85125 1
0.55046 0.71185 0
0.31193 0.78139 0
0.55963 0.75525 0
0.83486 0.91534 1
0.082569 0.9798 1
0.6055 0.80208 0
0.88073 0.83598 0
0.56881 0.75171 0
0.69725 0.80942 1
0.3211 0.84024 1
0.26606 0.8449 0
0.66055 0.74825 0
0.18349 0.89969 1
0.97248 0.9914 1
0.95413 0.84455 1
0.62385 0.7225 0
0.44037 0.81474 1
0.88991 0.78055 1
0.52294 0.77863 0
0.82569 0.75494 1
0.2844 0.81567 1
0.77982 0.85073 0
0.54128 0.75067 0
0.50459 0.70267 1
0.34862 0.77188 0
0.58716 0.66518 1
0.84404 0.8751 1
0.66972 0.7433 0
0.89908 0.87394 1
0.59633 0.75372 0
0.9633 0.99103 1
0.24771 0.83386 1
0.43119 0.71684 0
0.98165 0.98671 1
0.7156 0.81249 0
0.22936 0.90274 0
0.41284 0.75044 1
0.6422 0.66236 1
0.055046 0.94508 0
0.27523 0.81657 0
0.38532 0.6441 0
0.3578 0.81411 1
0.17431 0.87881 1
