x y
-0.07360324 -0.4401949
1.177817 -1.280187
1.592068 -1.836264
0.2420595 -0.8128612
-0.6847869 0.3048531
0.7136248 -0.3949218
1.106187 -1.215256
-0.6333058 0.6885833
-0.483755 0.06281784
-1.058588 0.9933755
-0.3607469 0.9066874
-2.166684 1.887982
-0.2891597 -0.694444
0.02467252 -0.3404567
-0.04764841 0.5411262
-0.5193903 0.592367
0.04293535 0.180966
-1.519993 1.630261
0.2097781 -0.298925
0.9782459 -1.253221
-1.226571 2.192259
0.6324291 -0.4092541
-0.2098523 -0.1319165
-2.245048 1.716283
0.2025928 -0.7893369
0.5121068 -0.8543658
1.054613 -0.7654199
0.613306 -0.09762304
0.7430121 -0.719701
-0.5427254 0.5907352
-1.267418 0.5012112
0.6771256 -0.7879028
-0.5475431 0.8388491
-0.07921571 0.3808632
0.202418 -0.4766109
0.4202402 0.2674826
1.428793 -1.03941
0.5127646 -0.1424434
-1.024613 1.503169
-1.144579 0.6982092
-0.02394635 -0.3462122
0.5255428 -0.6220913
1.706344 -1.835956
1.160382 -1.1877
-2.382402 2.360032
1.519062 -1.756812
-0.363476 -0.3178546
1.137384 -1.347319
0.2858053 -0.1437725
0.04056769 0.196613
-0.2667475 0.310884
-0.2664762 0.2035919
-0.6224429 -0.1482575
-1.781728 1.526394
-1.30075 1.424879
0.1420881 -0.7098438
0.6900784 -0.9687816
0.6869742 -0.6383278
-0.0682054 0.2432244
0.5872503 -0.4760129
-1.29456 1.558047
-0.8041167 -0.1320899
-0.4905093 0.3163664
-0.983466 0.8959502
0.09793138 -0.931741
0.8869496 -0.8535066
-0.6725917 -0.1096152
2.430038 -2.219477
-0.5391779 0.1197512
-1.027077 1.045858
1.181246 -0.9654493
0.7218741 -0.7270831
1.071712 -1.004531
-0.1691579 0.4682502
-0.2684249 0.1540842
0.0851859 0.2771564
-0.4700993 0.8598411
-1.280042 2.287913
-1.757877 1.256942
0.2070298 0.4612645
-0.62645 0.8815937
-1.928012 2.331964
-1.53576 1.227923
0.1549866 -0.2632404
-0.9646281 0.9617729
1.244282 -1.481576
0.3076912 0.5922387
0.05179547 -0.5146173
-1.228154 0.6573855
-0.1048596 0.3545035
-1.92226 1.706766
-1.062476 1.868159
0.3259419 -0.3942584
0.1830461 0.1144969
-0.1078791 -0.2922674
0.5077066 0.05041875
0.1402143 -0.170646
-2.344403 2.266267
0.06312398 -0.8617327
-0.3577291 0.04854359
